,ac_number,constituency,region,reserved,winner_party_2021,winner_share_2021,margin_pct_2021,winner_party_2026,winner_share_2026,margin_pct_2026,total_votes,num_candidates,flipped,share_delta,margin_delta
180,181,Thirumayam,Delta,GEN,DMK,41.0,0.79,DMK,31.87,0.82,182612,15,False,-9.13,0.03
181,182,Alangudi,Delta,GEN,DMK,51.17,15.04,DMK,35.98,7.19,180483,15,False,-15.19,-7.85
182,183,Arantangi,Delta,GEN,INC,48.7,18.38,TVK,40.08,5.51,182730,16,True,-8.62,-12.87
183,184,Karaikudi,South,GEN,INC,35.75,10.16,TVK,44.21,20.1,229267,26,True,8.46,9.94
184,185,Tiruppattur,South,GEN,DMK,49.19,17.73,TVK,38.65,0.0,215710,16,True,-10.54,-17.73
185,186,Sivaganga,South,GEN,AIADMK,40.66,5.57,TVK,34.45,7.04,214067,18,True,-6.21,1.47
186,187,Manamadurai,South,SC,DMK,44.01,6.94,TVK,33.54,0.58,208643,15,True,-10.47,-6.36
187,188,Melur,South,GEN,AIADMK,45.6,19.24,INC,31.5,1.43,190726,14,True,-14.1,-17.81
188,189,Madurai East,South,GEN,DMK,51.59,20.85,TVK,43.74,6.09,271566,16,True,-7.85,-14.76
189,190,Sholavandan,South,SC,DMK,48.04,9.72,TVK,33.8,1.42,189080,15,True,-14.24,-8.3
190,191,Madurai North,South,GEN,DMK,46.64,14.64,TVK,45.03,11.15,161801,14,True,-1.61,-3.49
191,192,Madurai South,South,GEN,DMK,42.49,4.41,TVK,44.11,15.21,141503,7,True,1.62,10.8
192,193,Madurai Central,South,GEN,DMK,48.99,22.87,TVK,42.68,12.87,148586,13,True,-6.31,-10.0
193,194,Madurai West,South,GEN,AIADMK,41.59,4.52,TVK,40.78,5.51,216403,15,True,-0.81,0.99
194,195,Thiruparankundram,South,GEN,AIADMK,43.96,12.5,TVK,44.75,16.27,255466,16,True,0.79,3.77
195,196,Thirumangalam,South,GEN,AIADMK,45.51,6.39,DMK,38.22,10.31,230980,16,True,-7.29,3.92
196,197,Usilampatti,South,GEN,AIADMK,33.53,3.52,TVK,29.34,0.81,224048,13,True,-4.19,-2.71
197,198,Andipatti,South,GEN,DMK,44.64,4.07,DMK,34.2,4.4,217329,19,False,-10.44,0.33
198,199,Periyakulam,South,SC,DMK,45.71,10.57,TVK,40.56,9.15,211209,14,True,-5.15,-1.42
199,200,Bodinayakanur,South,GEN,AIADMK,46.58,5.13,DMK,38.62,3.08,220628,16,True,-7.96,-2.05
200,201,Cumbum,South,GEN,DMK,51.81,20.97,TVK,40.55,0.36,210574,20,True,-11.26,-20.61
201,202,Rajapalayam,South,GEN,DMK,41.5,2.18,TVK,35.81,5.79,183020,23,True,-5.69,3.61
202,203,Srivilliputhur,South,SC,AIADMK,38.09,6.88,TVK,33.93,4.44,193471,15,True,-4.16,-2.44
203,204,Sattur,South,GEN,DMK,38.68,5.83,DMK,31.23,3.01,198734,23,False,-7.45,-2.82
204,205,Sivakasi,South,GEN,INC,42.66,9.36,TVK,35.51,6.03,193517,15,True,-7.15,-3.33
205,206,Virudhunagar,South,GEN,DMK,45.32,13.2,TVK,37.93,5.6,167832,16,True,-7.39,-7.6
206,207,Aruppukottai,South,GEN,DMK,53.18,22.8,DMK,36.49,2.77,178413,26,False,-16.69,-20.03
207,208,Tiruchuli,South,GEN,DMK,59.15,35.29,DMK,41.43,7.44,181250,24,False,-17.72,-27.85
208,209,Paramakudi,South,SC,DMK,46.59,7.29,DMK,31.18,1.87,189753,13,False,-15.41,-5.42
209,210,Tiruvadanai,South,GEN,INC,39.33,6.86,TVK,31.57,1.14,220278,22,True,-7.76,-5.72
210,211,Ramanathapuram,South,GEN,DMK,51.88,23.58,DMK,37.52,5.24,237576,14,False,-14.36,-18.34
211,212,Mudukulathur,South,GEN,DMK,46.06,9.37,DMK,29.39,7.17,231373,21,False,-16.67,-2.2
212,213,Vilathikulam,South,GEN,DMK,54.05,23.06,DMK,33.4,4.71,174814,16,False,-20.65,-18.35
213,214,Thoothukkudi,South,GEN,DMK,49.0,26.7,TVK,49.11,18.43,204712,16,True,0.11,-8.27
214,215,Tiruchendur,South,GEN,DMK,50.58,14.47,DMK,39.09,3.16,186050,14,False,-11.49,-11.31
215,216,Srivaikuntam,South,GEN,INC,46.75,10.57,TVK,33.34,0.67,176421,16,True,-13.41,-9.9
216,217,Ottapidaram,South,SC,DMK,41.11,4.79,TVK,41.62,14.83,196117,14,True,0.51,10.04
217,218,Kovilpatti,South,GEN,AIADMK,37.89,6.86,DMK,31.74,0.43,194232,22,True,-6.15,-6.43
218,219,Sankarankovil,South,SC,DMK,38.92,2.89,AIADMK,33.01,3.3,196480,21,True,-5.91,0.41
219,220,Vasudevanallur,South,SC,DMK,39.08,1.35,DMK,33.22,3.47,189795,19,False,-5.86,2.12
220,221,Kadayanallur,South,GEN,AIADMK,43.08,11.86,DMK,35.97,2.82,221951,23,True,-7.11,-9.04
221,222,Tenkasi,South,GEN,INC,41.71,0.17,DMK,33.92,4.38,234987,23,True,-7.79,4.21
222,223,Alangulam,South,GEN,AIADMK,36.44,1.74,DMK,31.32,3.53,220857,14,True,-5.12,1.79
223,224,Tirunelveli,South,GEN,BJP,46.7,11.69,TVK,34.72,5.23,218425,21,True,-11.98,-6.46
